(1.500000,-3.000345,-5.000236)
(0.500002,-3.002076,-5.001392)
(-0.499983,-3.006636,-5.004259)
(-1.499934,-3.015358,-5.009065)
(-2.499823,-3.029061,-5.014789)
(-3.499633,-3.048174,-5.018838)
(-4.499314,-3.073347,-5.016958)
(-5.498681,-3.106095,-5.003046)
(-6.497177,-3.149082,-4.969033)
(-7.493595,-3.205580,-4.906110)
(-8.486246,-3.277579,-4.808848)
(-9.474233,-3.363452,-4.680369)
(-10.458603,-3.458145,-4.531874)
(-11.441490,-3.556110,-4.375874)
(-12.424616,-3.653520,-4.221039)
(-13.408832,-3.748462,-4.071688)
(-14.394369,-3.840292,-3.929267)
(-15.381162,-3.929017,-3.793744)
(-16.369042,-4.014922,-3.664462)
(-17.357824,-4.098378,-3.540583)
(-18.347341,-4.179748,-3.421278)
(-19.337457,-4.259362,-3.305811)
(-20.328059,-4.337500,-3.193554)
(-21.319059,-4.414395,-3.083983)
(-22.310387,-4.490242,-2.976668)
(-23.301986,-4.565201,-2.871255)
(-24.293813,-4.639404,-2.767454)
(-25.285830,-4.712958,-2.665028)
(-26.278010,-4.785954,-2.563777)
(-27.270327,-4.858468,-2.463541)
(-28.262764,-4.930561,-2.364182)
(-29.255303,-5.002287,-2.265587)
(-30.247932,-5.073691,-2.167660)
(-31.240639,-5.144809,-2.070320)
(-32.233414,-5.215676,-1.973498)
(-33.226251,-5.286317,-1.877134)
(-34.219141,-5.356758,-1.781179)
(-35.212079,-5.427019,-1.685588)
(-36.205060,-5.497118,-1.590324)
(-37.198079,-5.567070,-1.495353)
(-38.191133,-5.636891,-1.400648)
(-39.184218,-5.706591,-1.306182)
(-40.177331,-5.776181,-1.211934)
(-41.170471,-5.845672,-1.117885)
(-42.163634,-5.915070,-1.024015)
(-43.156818,-5.984385,-0.930312)
(-44.150022,-6.053623,-0.836759)
(-45.143244,-6.122789,-0.743346)
(-46.136482,-6.191890,-0.650061)
(-47.129736,-6.260929,-0.556894)
(-48.123005,-6.329912,-0.463837)
(-49.116286,-6.398843,-0.370881)
(-50.109579,-6.467725,-0.278019)
(-51.102884,-6.536561,-0.185245)
(-52.096200,-6.605355,-0.092551)
(-53.089525,-6.674109,0.000066)
(-54.082859,-6.742826,0.092613)
(-55.076202,-6.811508,0.185093)
(-56.069553,-6.880157,0.277512)
(-57.062911,-6.948776,0.369872)
(-58.056277,-7.017366,0.462177)
(-59.049649,-7.085928,0.554432)
(-60.043028,-7.154465,0.646637)
(-61.036412,-7.222977,0.738798)
(-62.029802,-7.291467,0.830915)
(-63.023197,-7.359934,0.922992)
(-64.016597,-7.428381,1.015030)
(-65.010002,-7.496809,1.107033)
(-66.003412,-7.565218,1.199000)
(-66.996825,-7.633610,1.290935)
(NaN,NaN,NaN)
